agent_no,start_date,agent_state_code,duration
39506005,07/04/2024,-4,0
39506005,07/04/2024,0,1680
39506005,07/04/2024,1,1283
39506005,07/04/2024,2,631
39506005,07/04/2024,3,0
39506005,07/04/2024,54,230
39506005,07/04/2024,55,1932
39506005,07/04/2024,56,55
39506005,07/04/2024,78,383
39506005,07/04/2024,154,8211
39506008,07/04/2024,-4,0
39506008,07/04/2024,0,1529
39506008,07/04/2024,1,1564
39506008,07/04/2024,2,100
39506008,07/04/2024,3,12
39506008,07/04/2024,54,11
39506008,07/04/2024,78,491
39506012,07/04/2024,-4,0
39506012,07/04/2024,0,5527
39506012,07/04/2024,1,5793
39506012,07/04/2024,2,1112
39506012,07/04/2024,3,21
39506012,07/04/2024,51,1704
39506012,07/04/2024,54,66
39506012,07/04/2024,56,245
39506016,07/04/2024,-4,0
39506016,07/04/2024,0,2775
39506016,07/04/2024,1,8893
39506016,07/04/2024,2,804
39506016,07/04/2024,3,0
39506016,07/04/2024,54,320
39506016,07/04/2024,55,1797
39506016,07/04/2024,56,7
39506016,07/04/2024,154,33
39506030,07/04/2024,-4,0
39506030,07/04/2024,0,1860
39506030,07/04/2024,1,3632
39506030,07/04/2024,2,831
39506030,07/04/2024,3,24
39506030,07/04/2024,51,886
39506030,07/04/2024,54,81
39506030,07/04/2024,56,36
39506030,07/04/2024,78,3
39506030,07/04/2024,154,7113
39506032,07/04/2024,-4,0
39506032,07/04/2024,0,2127
39506032,07/04/2024,1,1625
39506032,07/04/2024,2,233
39506032,07/04/2024,3,21
39506032,07/04/2024,54,100
39506032,07/04/2024,56,28
39506036,07/04/2024,-4,0
39506036,07/04/2024,0,1915
39506036,07/04/2024,1,1081
39506036,07/04/2024,2,264
39506036,07/04/2024,3,9
39506036,07/04/2024,54,14
39506036,07/04/2024,56,14
39506037,07/04/2024,-4,0
39506037,07/04/2024,0,992
39506037,07/04/2024,1,615
39506037,07/04/2024,2,157
39506037,07/04/2024,3,19
39506037,07/04/2024,54,27
39506037,07/04/2024,56,7
39506042,07/04/2024,-4,0
39506042,07/04/2024,-1,103
39506042,07/04/2024,0,1713
39506042,07/04/2024,1,3204
39506042,07/04/2024,2,106
39506042,07/04/2024,3,0
39506042,07/04/2024,51,239
39506042,07/04/2024,54,110
39506042,07/04/2024,55,1738
39506042,07/04/2024,56,206
39506042,07/04/2024,78,320
39506042,07/04/2024,154,6674
39506046,07/04/2024,-4,0
39506046,07/04/2024,0,1104
39506046,07/04/2024,1,1244
39506046,07/04/2024,2,1024
39506046,07/04/2024,3,0
39506046,07/04/2024,54,262
39506046,07/04/2024,55,1798
39506046,07/04/2024,56,52
39506046,07/04/2024,154,8931
39506049,07/04/2024,-4,0
39506049,07/04/2024,0,2140
39506049,07/04/2024,1,1679
39506049,07/04/2024,2,237
39506049,07/04/2024,3,27
39506049,07/04/2024,54,91
39506049,07/04/2024,56,7
39506057,07/04/2024,-4,0
39506057,07/04/2024,0,1593
39506057,07/04/2024,1,2033
39506057,07/04/2024,2,177
39506057,07/04/2024,3,76
39506057,07/04/2024,54,21
39506057,07/04/2024,56,12
39506058,07/04/2024,-4,0
39506058,07/04/2024,0,1525
39506058,07/04/2024,1,2453
39506058,07/04/2024,2,536
39506058,07/04/2024,3,0
39506058,07/04/2024,51,831
39506058,07/04/2024,54,50
39506058,07/04/2024,154,9032
39506062,07/04/2024,-4,0
39506062,07/04/2024,0,3137
39506062,07/04/2024,1,6046
39506062,07/04/2024,2,2571
39506062,07/04/2024,3,0
39506062,07/04/2024,54,334
39506062,07/04/2024,55,1870
39506062,07/04/2024,78,471
39555314,07/04/2024,0,1338
39555314,07/04/2024,1,2437
39555314,07/04/2024,3,15
39555314,07/04/2024,54,80
39555315,07/04/2024,-4,0
39555315,07/04/2024,0,1942
39555315,07/04/2024,1,1488
39555315,07/04/2024,2,296
39555315,07/04/2024,3,21
39555315,07/04/2024,54,51
39555315,07/04/2024,56,41
39555316,07/04/2024,-4,0
39555316,07/04/2024,0,909
39555316,07/04/2024,1,1825
39555316,07/04/2024,2,893
39555316,07/04/2024,3,10
39555316,07/04/2024,54,18
39555316,07/04/2024,56,16
39555316,07/04/2024,73,387
39555320,07/04/2024,-4,0
39555320,07/04/2024,0,5653
39555320,07/04/2024,1,6158
39555320,07/04/2024,2,253
39555320,07/04/2024,3,124
39555320,07/04/2024,51,1566
39555320,07/04/2024,54,69
39555320,07/04/2024,78,747
39555320,07/04/2024,154,394
39555321,07/04/2024,-4,0
39555321,07/04/2024,0,1375
39555321,07/04/2024,1,1417
39555321,07/04/2024,2,773
39555321,07/04/2024,3,0
39555321,07/04/2024,54,130
39555321,07/04/2024,55,1828
39555321,07/04/2024,78,928
39555321,07/04/2024,154,8094
39555322,07/04/2024,-4,0
39555322,07/04/2024,0,3472
39555322,07/04/2024,1,1148
39555322,07/04/2024,2,360
39555322,07/04/2024,3,16
39555322,07/04/2024,51,1689
39555322,07/04/2024,54,28
39555322,07/04/2024,154,8151
39555329,07/04/2024,-4,0
39555329,07/04/2024,0,1142
39555329,07/04/2024,1,2472
39555329,07/04/2024,2,249
39555329,07/04/2024,3,0
39555329,07/04/2024,54,42
39555329,07/04/2024,55,1795
39555329,07/04/2024,154,8854
39555332,07/04/2024,-4,0
39555332,07/04/2024,0,697
39555332,07/04/2024,2,1660
